SKU Parent,SKU119 LATAM,SKU121 LATAM,SKU115 LATAM,SKU110 APAC,SKU116 LATAM,SKU123 LATAM,SKU124 LATAM,SKU103 LATAM,SKU114 LATAM,SKU101 LATAM,SKU105 EMEA,SKU111 LATAM,SKU108 LATAM,SKU107 LATAM,SKU112 APAC,SKU110 LATAM,SKU114 NA,SKU106 APAC,SKU112 LATAM,SKU117 LATAM,SKU107 APAC,SKU107 EMEA,SKU114 APAC,SKU115 APAC,SKU106 LATAM,SKU113 APAC,SKU118 LATAM,SKU116 NA,SKU105 APAC,SKU101 EMEA,SKU111 APAC,SKU102 APAC,SKU109 LATAM,SKU118 APAC,SKU117 APAC,SKU102 EMEA,SKU110 NA,SKU120 APAC,SKU109 EMEA,SKU110 EMEA,SKU108 EMEA,SKU111 NA,SKU119 EMEA,SKU122 APAC,SKU118 NA,SKU108 APAC,SKU106 EMEA,SKU100 NA,SKU116 EMEA,SKU117 NA,SKU113 EMEA,SKU112 EMEA,SKU109 NA,SKU115 EMEA,SKU115 NA,SKU104 APAC,SKU106 NA,SKU103 NA,SKU109 APAC,SKU102 NA,SKU105 NA,SKU117 EMEA,SKU103 EMEA,SKU119 APAC,SKU107 NA,SKU112 NA,SKU118 EMEA,SKU104 EMEA,SKU101 NA,SKU114 EMEA,SKU113 NA,SKU123 NA
248923,1060,1040,1162,2650,1564,588,1196,1490,1196,496,4240,336,1580,954,2600,700,5300,2905,956,1510,3910,4160,1470,2990,880,3725,1200,5200,2990,4648,1240,840,2006,3950,2385,6256,5810,1750,2352,4784,5960,7820,4784,2390,2940,3775,1984,5980,1344,7450,6320,3816,5980,2800,2480,2200,1680,7900,3000,4770,3500,3824,6040,5015,4780,7550,3520,4800,4400,8023,6000,10029
242613,1160,760,1260,2900,1024,816,1376,1000,1404,424,4640,576,1026,938,1900,660,5800,3150,1024,1400,2560,3040,2040,3440,1200,2500,1210,3800,3510,5040,1060,1440,2151,2565,2345,4096,6300,1650,3264,5504,4000,5120,5616,2560,4080,3500,1696,6880,2304,5000,4104,3752,7020,2640,2120,3000,2880,5130,3025,4690,3300,4096,5600,5378,5120,7000,4800,4840,6000,8604,6050,10755
257025,960,750,1254,2400,1160,744,1272,1010,1284,1116,3840,418,1894,890,1875,510,4800,3135,1064,1560,2900,3000,1860,3180,1380,2525,1560,3750,3210,5016,2790,1045,1736,4735,2225,4640,6270,1275,2976,5088,4040,5800,5136,2660,3720,3900,4464,6360,1672,5050,7576,3560,6420,2040,5580,3450,2090,9470,3900,4450,2550,4256,6240,4340,5320,7800,5520,6240,6900,6944,7800,8680
282528,1240,2220,1280,3100,1344,1008,1336,1270,1324,636,4960,360,1260,1080,5550,760,6200,3200,1028,1700,3360,8880,2520,3340,1300,3175,1530,11100,3310,5120,1590,900,1926,3150,2700,5376,6400,1900,4032,5344,5080,6720,5296,2570,5040,4250,2544,6680,1440,6350,5040,4320,6620,3040,3180,3250,1800,6300,3825,5400,3800,4112,6800,4816,5140,8500,5200,6120,6500,7705,7650,9631
236968,1100,1360,1262,2750,1600,708,1320,1110,1500,668,4400,346,898,1118,3400,610,5500,3155,1032,1360,4000,5440,1770,3300,520,2775,770,6800,3750,5048,1670,865,1675,2245,2795,6400,6310,1525,2832,5280,4440,8000,6000,2580,3540,3400,2672,6600,1384,5550,3592,4472,7500,2440,3340,1300,1730,4490,1925,5590,3050,4128,5440,4189,5160,6800,2080,3080,2600,6702,3850,8377
213638,850,1320,1126,2125,1184,996,1252,1200,1236,540,3400,580,422,872,3300,530,4250,2815,896,1410,2960,5280,2490,3130,400,3000,840,6600,3090,4504,1350,1450,1437,1055,2180,4736,5630,1325,3984,5008,4800,5920,4944,2240,4980,3525,2160,6260,2320,6000,1688,3488,6180,2120,2700,1000,2900,2110,2100,4360,2650,3584,5640,3593,4480,7050,1600,3360,2000,5748,4200,7185
254677,1080,1020,1140,2700,1472,1044,1300,1230,1612,728,4320,196,934,1074,2550,710,5400,2850,1244,1480,3680,3264,2610,3250,1180,3075,1070,5100,4030,4560,1820,490,1925,2335,2685,5888,5700,1775,4176,5200,4920,7360,6448,3110,5220,3700,2912,6500,784,6150,3736,4296,8060,2840,3640,2950,980,4670,2675,5370,3550,4976,5920,4814,6220,7400,4720,4280,5900,7702,5350,9627
241880,1110,1080,1336,2775,1216,876,1436,1080,1300,688,4440,312,1190,932,2700,460,5550,3340,812,1330,3040,2160,2190,3590,1000,2700,1210,5400,3250,5344,1720,780,2155,2975,2330,4864,6680,1150,3504,5744,4320,6080,5200,2030,4380,3325,2752,7180,1248,5400,4760,3728,6500,1840,3440,2500,1560,5950,3025,4660,2300,3248,5320,5388,4060,6650,4000,4840,5000,8621,6050,10776
205659,1000,2280,1102,2500,1352,672,1332,720,1272,544,4000,198,520,890,5700,370,5000,2755,912,1240,3380,1824,1680,3330,120,1800,1050,11400,3180,4408,1360,495,1462,1300,2225,5408,5510,925,2688,5328,2880,6760,5088,2280,3360,3100,2176,6660,792,3600,2080,3560,6360,1480,2720,300,990,2600,2625,4450,1850,3648,4960,3656,4560,6200,480,4200,600,5850,5250,7312
252595,1410,1880,1338,3525,1312,1020,1632,1550,1552,288,5640,360,456,996,4700,700,7050,3345,948,1320,3280,0,2550,4080,760,3875,1120,9400,3880,5352,720,900,2167,1140,2490,5248,6690,1750,4080,6528,6200,6560,6208,2370,5100,3300,1152,8160,1440,7750,1824,3984,7760,2800,1440,1900,1800,2280,2800,4980,3500,3792,5280,5418,4740,6600,3040,4480,3800,8669,5600,10836
227653,1380,830,1174,3450,1092,600,1668,840,1416,252,5520,722,838,918,2075,420,6900,2935,900,1170,2730,0,1500,4170,1080,2100,1050,4150,3540,4696,630,1805,2128,2095,2295,4368,5870,1050,2400,6672,3360,5460,5664,2250,3000,2925,1008,8340,2888,4200,3352,3672,7080,1680,1260,2700,3610,4190,2625,4590,2100,3600,4680,5320,4500,5850,4320,4200,5400,8511,5250,10639
237555,1550,1500,1368,3875,1504,612,1548,1020,1588,596,6200,86,1164,916,3750,420,7750,3420,908,1300,3760,0,1530,3870,340,2550,1440,7500,3970,5472,1490,215,1624,2910,2290,6016,6840,1050,2448,6192,4080,7520,6352,2270,3060,3250,2384,7740,344,5100,4656,3664,7940,1680,2980,850,430,5820,3600,4580,2100,3632,5200,4061,4540,6500,1360,5760,1700,6498,7200,8122
252993,1280,2230,1336,3200,1260,924,1580,640,1468,696,5120,366,992,858,5575,560,6400,3340,888,1400,3150,0,2310,3950,760,1600,1710,11150,3670,5344,1740,915,2005,2480,2145,5040,6680,1400,3696,6320,2560,6300,5872,2220,4620,3500,2784,7900,1464,3200,3968,3432,7340,2240,3480,1900,1830,4960,4275,4290,2800,3552,5600,5013,4440,7000,3040,6840,3800,8020,8550,10025
232810,1210,1450,1304,3025,1216,804,1548,1080,1572,744,4840,250,1028,968,3625,700,6050,3260,848,1330,3040,0,2010,3870,380,2700,760,7250,3930,5216,1860,625,1897,2570,2420,4864,6520,1750,3216,6192,4320,6080,6288,2120,4020,3325,2976,7740,1000,5400,4112,3872,7860,2800,3720,950,1250,5140,1900,4840,3500,3392,5320,4742,4240,6650,1520,3040,1900,7587,3800,9484
230448,1250,1130,1204,3125,1308,1044,1484,870,1344,692,5000,394,1042,1020,2825,450,6250,3010,956,1500,3270,0,2610,3710,220,2175,970,5650,3360,4816,1730,985,1919,2605,2550,5232,6020,1125,4176,5936,3480,6540,5376,2390,5220,3750,2768,7420,1576,4350,4168,4080,6720,1800,3460,550,1970,5210,2425,5100,2250,3824,6000,4799,4780,7500,880,3880,1100,7678,4850,9597
256730,1530,2400,1238,3825,1284,996,1424,760,1536,404,6120,524,716,1234,6000,820,7650,3095,1248,1610,3210,0,2490,3560,340,1900,1250,12000,3840,4952,1010,1310,1992,1790,3085,5136,6190,2050,3984,5696,3040,6420,6144,3120,4980,4025,1616,7120,2096,3800,2864,4936,7680,3280,2020,850,2620,3580,3125,6170,4100,4992,6440,4981,6240,8050,1360,5000,1700,7970,6250,9962
